689: 2unique | 2count | 66sum
690: 4unique | 4count | 33sum
691: 1unique | 1count | 691sum
695: 2unique | 2count | 144sum
696: 3unique | 5count | 38sum
697: 2unique | 2count | 58sum
701: 1unique | 1count | 701sum
702: 3unique | 5count | 24sum
703: 2unique | 2count | 56sum
707: 2unique | 2count | 108sum
708: 3unique | 4count | 66sum
709: 1unique | 1count | 709sum
713: 2unique | 2count | 54sum
714: 4unique | 4count | 29sum
715: 3unique | 3count | 29sum
719: 1unique | 1count | 719sum
720: 3unique | 7count | 19sum
721: 2unique | 2count | 110sum
725: 2unique | 3count | 39sum
726: 3unique | 4count | 27sum
727: 1unique | 1count | 727sum
731: 2unique | 2count | 60sum
732: 3unique | 4count | 68sum
733: 1unique | 1count | 733sum
737: 2unique | 2count | 78sum
738: 3unique | 4count | 49sum
739: 1unique | 1count | 739sum
743: 1unique | 1count | 743sum
744: 3unique | 5count | 40sum
745: 2unique | 2count | 154sum
749: 2unique | 2count | 114sum
750: 3unique | 5count | 20sum
751: 1unique | 1count | 751sum
755: 2unique | 2count | 156sum
756: 3unique | 6count | 20sum
757: 1unique | 1count | 757sum
761: 1unique | 1count | 761sum
762: 3unique | 3count | 132sum
763: 2unique | 2count | 116sum
767: 2unique | 2count | 72sum
768: 2unique | 9count | 19sum
769: 1unique | 1count | 769sum
773: 1unique | 1count | 773sum
774: 3unique | 4count | 51sum
775: 2unique | 3count | 41sum
779: 2unique | 2count | 60sum
780: 4unique | 5count | 25sum
781: 2unique | 2count | 82sum
785: 2unique | 2count | 162sum
786: 3unique | 3count | 136sum
787: 1unique | 1count | 787sum
791: 2unique | 2count | 120sum
792: 3unique | 6count | 23sum
793: 2unique | 2count | 74sum
797: 1unique | 1count | 797sum
798: 4unique | 4count | 31sum
799: 2unique | 2count | 64sum
803: 2unique | 2count | 84sum
804: 3unique | 4count | 74sum
805: 3unique | 3count | 35sum
809: 1unique | 1count | 809sum
810: 3unique | 6count | 19sum
811: 1unique | 1count | 811sum
815: 2unique | 2count | 168sum
816: 3unique | 6count | 28sum
817: 2unique | 2count | 62sum
821: 1unique | 1count | 821sum
822: 3unique | 3count | 142sum
823: 1unique | 1count | 823sum
827: 1unique | 1count | 827sum
828: 3unique | 5count | 33sum
829: 1unique | 1count | 829sum
833: 2unique | 3count | 31sum
834: 3unique | 3count | 144sum
