20428: 2uniques | 3count | 5111sum
20429: 2uniques | 2count | 690sum
20430: 4uniques | 5count | 240sum
20431: 1uniques | 1count | 0sum
20432: 2uniques | 5count | 1285sum
20433: 3uniques | 4count | 156sum
20434: 3uniques | 3count | 620sum
20435: 3uniques | 3count | 133sum
20436: 4uniques | 5count | 151sum
20437: 2uniques | 2count | 298sum
20438: 3uniques | 3count | 942sum
20439: 2uniques | 4count | 766sum
20440: 4uniques | 6count | 91sum
20441: 1uniques | 1count | 0sum
20442: 3uniques | 3count | 3412sum
20443: 1uniques | 1count | 0sum
20444: 3uniques | 4count | 292sum
20445: 4uniques | 4count | 84sum
20446: 2uniques | 2count | 10225sum
20447: 3uniques | 3count | 157sum
20448: 3uniques | 8count | 87sum
20449: 2uniques | 4count | 48sum
20450: 3uniques | 4count | 421sum
20451: 3uniques | 3count | 421sum
20452: 2uniques | 3count | 5117sum
20453: 2uniques | 2count | 294sum
20454: 4uniques | 4count | 499sum
20455: 2uniques | 2count | 4096sum
20456: 2uniques | 4count | 2563sum
20457: 2uniques | 3count | 2279sum
20458: 3uniques | 3count | 248sum
20459: 2uniques | 2count | 540sum
20460: 5uniques | 6count | 54sum
20461: 3uniques | 3count | 123sum
20462: 3uniques | 3count | 802sum
20463: 3uniques | 3count | 381sum
20464: 2uniques | 5count | 1287sum
20465: 2uniques | 2count | 4098sum
20466: 3uniques | 5count | 390sum
20467: 2uniques | 2count | 308sum
20468: 4uniques | 5count | 71sum
20469: 2uniques | 2count | 6826sum
20470: 4uniques | 4count | 119sum
20471: 2uniques | 2count | 1872sum
20472: 3uniques | 5count | 862sum
20473: 2uniques | 2count | 406sum
20474: 3uniques | 3count | 384sum
20475: 4uniques | 6count | 36sum
20476: 2uniques | 3count | 5123sum
20477: 1uniques | 1count | 0sum
20478: 3uniques | 3count | 3418sum
20479: 1uniques | 1count | 0sum
20480: 2uniques | 13count | 29sum
20481: 2uniques | 2count | 6830sum
20482: 4uniques | 5count | 46sum
20483: 1uniques | 1count | 0sum
20484: 3uniques | 5count | 579sum
20485: 3uniques | 3count | 263sum
20486: 2uniques | 2count | 10245sum
20487: 2uniques | 2count | 6832sum
20488: 3uniques | 5count | 216sum
20489: 2uniques | 2count | 2934sum
20490: 4uniques | 4count | 693sum
20491: 2uniques | 2count | 692sum
20492: 3uniques | 4count | 160sum
20493: 3uniques | 6count | 46sum
20494: 2uniques | 2count | 10249sum
20495: 2uniques | 2count | 4104sum
20496: 4uniques | 7count | 79sum
20497: 2uniques | 2count | 302sum
20498: 3uniques | 3count | 316sum
20499: 2uniques | 2count | 6836sum
20500: 3uniques | 6count | 60sum
20501: 3uniques | 3count | 115sum
20502: 4uniques | 5count | 92sum
20503: 3uniques | 3count | 137sum
20504: 3uniques | 5count | 250sum
20505: 3uniques | 3count | 1375sum
20506: 2uniques | 2count | 10255sum
20507: 1uniques | 1count | 0sum
20508: 3uniques | 4count | 1716sum
20509: 1uniques | 1count | 0sum
20510: 4uniques | 4count | 307sum
20511: 3uniques | 4count | 102sum
20512: 2uniques | 6count | 651sum
20513: 2uniques | 2count | 354sum
20514: 4uniques | 4count | 281sum
20515: 3uniques | 3count | 389sum
20516: 3uniques | 4count | 250sum
20517: 3uniques | 3count | 987sum
20518: 2uniques | 2count | 10261sum
20519: 2uniques | 3count | 105sum
20520: 4uniques | 8count | 39sum
20521: 1uniques | 1count | 0sum
20522: 3uniques | 3count | 364sum
20523: 2uniques | 2count | 6844sum
20524: 3uniques | 4count | 744sum
20525: 2uniques | 3count | 831sum
20526: 4uniques | 4count | 327sum
20527: 2uniques | 2count | 1592sum
20528: 2uniques | 5count | 1291sum
20529: 2uniques | 3count | 2287sum
20530: 3uniques | 3count | 2060sum
20531: 2uniques | 3count | 433sum
20532: 4uniques | 5count | 95sum
20533: 1uniques | 1count | 0sum
20534: 2uniques | 2count | 10269sum
20535: 3uniques | 4count | 82sum
20536: 3uniques | 5count | 174sum
20537: 2uniques | 2count | 1878sum
20538: 4uniques | 5count | 178sum
20539: 3uniques | 3count | 89sum
20540: 4uniques | 5count | 101sum
20541: 3uniques | 3count | 211sum
20542: 2uniques | 2count | 10273sum
20543: 1uniques | 1count | 0sum
20544: 3uniques | 8count | 122sum
20545: 3uniques | 3count | 599sum
20546: 2uniques | 2count | 10275sum
20547: 2uniques | 4count | 770sum
20548: 3uniques | 4count | 482sum
20549: 1uniques | 1count | 0sum
20550: 4uniques | 5count | 152sum
20551: 1uniques | 1count | 0sum
20552: 3uniques | 5count | 380sum
20553: 4uniques | 4count | 64sum
20554: 3uniques | 3count | 284sum
20555: 2uniques | 2count | 4116sum
20556: 3uniques | 5count | 581sum
20557: 2uniques | 2count | 398sum
20558: 3uniques | 3count | 562sum
20559: 4uniques | 4count | 110sum
20560: 3uniques | 6count | 270sum
20561: 2uniques | 2count | 738sum
20562: 4uniques | 4count | 177sum
20563: 1uniques | 1count | 0sum
20564: 3uniques | 4count | 154sum
20565: 3uniques | 4count | 468sum
20566: 4uniques | 4count | 135sum
20567: 2uniques | 2count | 288sum
20568: 3uniques | 5count | 866sum
20569: 2uniques | 2count | 374sum
20570: 4uniques | 5count | 46sum
20571: 2uniques | 2count | 6860sum
20572: 3uniques | 4count | 180sum
20573: 2uniques | 2count | 2946sum
20574: 3uniques | 6count | 141sum
20575: 2uniques | 3count | 833sum
20576: 2uniques | 6count | 653sum
20577: 2uniques | 4count | 60sum
20578: 2uniques | 2count | 10291sum
20579: 2uniques | 2count | 1596sum
20580: 4uniques | 7count | 33sum
20581: 2uniques | 2count | 1882sum
20582: 3uniques | 3count | 294sum
20583: 2uniques | 3count | 2293sum
20584: 3uniques | 5count | 120sum
20585: 3uniques | 3count | 207sum
20586: 4uniques | 4count | 125sum
20587: 3uniques | 3count | 197sum
20588: 2uniques | 3count | 5151sum
20589: 2uniques | 2count | 6866sum
20590: 4uniques | 4count | 107sum
20591: 2uniques | 2count | 408sum
20592: 4uniques | 8count | 38sum
20593: 1uniques | 1count | 0sum
20594: 3uniques | 3count | 1480sum
20595: 3uniques | 3count | 1381sum
20596: 3uniques | 4count | 294sum
20597: 2uniques | 2count | 522sum
20598: 3uniques | 3count | 3438sum
20599: 1uniques | 1count | 0sum
20600: 3uniques | 6count | 119sum
20601: 3uniques | 5count | 125sum
20602: 2uniques | 2count | 10303sum
20603: 2uniques | 2count | 1884sum
20604: 4uniques | 5count | 125sum
20605: 3uniques | 3count | 335sum
20606: 2uniques | 2count | 10305sum
20607: 2uniques | 2count | 6872sum
20608: 3uniques | 9count | 44sum
20609: 2uniques | 2count | 594sum
20610: 4uniques | 5count | 242sum
20611: 1uniques | 1count | 0sum
20612: 2uniques | 3count | 5157sum
20613: 2uniques | 2count | 6874sum
20614: 3uniques | 3count | 950sum
20615: 4uniques | 4count | 62sum
20616: 3uniques | 5count | 868sum
20617: 2uniques | 2count | 442sum
20618: 3uniques | 4count | 89sum
20619: 3uniques | 4count | 114sum
20620: 3uniques | 4count | 1040sum
20621: 2uniques | 2count | 1230sum
20622: 4uniques | 4count | 503sum
20623: 2uniques | 2count | 544sum
20624: 2uniques | 5count | 1297sum
20625: 3uniques | 6count | 34sum
20626: 2uniques | 2count | 10315sum
20627: 1uniques | 1count | 0sum
20628: 3uniques | 6count | 204sum
20629: 2uniques | 3count | 435sum
20630: 3uniques | 3count | 2070sum
20631: 3uniques | 4count | 62sum
20632: 2uniques | 4count | 2585sum
20633: 2uniques | 2count | 486sum
20634: 4uniques | 4count | 205sum
20635: 2uniques | 2count | 4132sum
20636: 4uniques | 5count | 89sum
20637: 2uniques | 3count | 2299sum
20638: 3uniques | 3count | 626sum
20639: 1uniques | 1count | 0sum
20640: 4uniques | 8count | 61sum
20641: 1uniques | 1count | 0sum
20642: 2uniques | 2count | 10323sum
20643: 3uniques | 3count | 993sum
20644: 3uniques | 4count | 414sum
20645: 2uniques | 2count | 4134sum
20646: 4uniques | 5count | 76sum
20647: 2uniques | 2count | 1888sum
20648: 3uniques | 5count | 124sum
20649: 2uniques | 2count | 6886sum
20650: 4uniques | 5count | 78sum
20651: 2uniques | 2count | 300sum
20652: 3uniques | 4count | 1728sum
20653: 2uniques | 2count | 1106sum
20654: 3uniques | 3count | 474sum
20655: 3uniques | 7count | 37sum
20656: 2uniques | 5count | 1299sum
20657: 3uniques | 3count | 247sum
20658: 4uniques | 4count | 329sum
20659: 2uniques | 2count | 356sum
20660: 3uniques | 4count | 1042sum
20661: 3uniques | 3count | 171sum
20662: 2uniques | 2count | 10333sum
20663: 1uniques | 1count | 0sum
20664: 4uniques | 7count | 60sum
20665: 2uniques | 2count | 4138sum
20666: 2uniques | 2count | 10335sum
20667: 2uniques | 3count | 169sum
20668: 2uniques | 3count | 5171sum
20669: 2uniques | 2count | 1890sum
20670: 5uniques | 5count | 76sum
20671: 2uniques | 2count | 2960sum
20672: 3uniques | 8count | 48sum
20673: 2uniques | 3count | 2303sum
20674: 2uniques | 2count | 10339sum
20675: 2uniques | 3count | 837sum
20676: 3uniques | 4count | 1730sum
20677: 3uniques | 3count | 83sum
20678: 3uniques | 4count | 227sum
20679: 3uniques | 3count | 177sum
20680: 4uniques | 6count | 69sum
20681: 1uniques | 1count | 0sum
20682: 3uniques | 5count | 394sum
20683: 3uniques | 3count | 93sum
20684: 2uniques | 3count | 5175sum
20685: 4uniques | 4count | 212sum
20686: 2uniques | 2count | 10345sum
20687: 2uniques | 2count | 288sum
20688: 3uniques | 6count | 442sum
20689: 2uniques | 2count | 1234sum
20690: 3uniques | 3count | 2076sum
20691: 3uniques | 5count | 47sum
20692: 3uniques | 4count | 750sum
20693: 1uniques | 1count | 0sum
20694: 3uniques | 3count | 3454sum
20695: 2uniques | 2count | 4144sum
20696: 3uniques | 5count | 218sum
20697: 2uniques | 2count | 6902sum
20698: 3uniques | 3count | 212sum
20699: 2uniques | 2count | 2964sum
20700: 4uniques | 7count | 43sum
20701: 2uniques | 2count | 290sum
20702: 3uniques | 3count | 954sum
20703: 3uniques | 3count | 173sum
20704: 2uniques | 6count | 657sum
20705: 3uniques | 3count | 147sum
20706: 5uniques | 5count | 58sum
20707: 1uniques | 1count | 0sum
20708: 3uniques | 4count | 202sum
20709: 3uniques | 5count | 81sum
20710: 4uniques | 4count | 135sum
20711: 2uniques | 2count | 288sum
20712: 3uniques | 5count | 872sum
20713: 3uniques | 3count | 287sum
20714: 2uniques | 2count | 10359sum
20715: 3uniques | 3count | 1389sum
20716: 2uniques | 3count | 5183sum
20717: 1uniques | 1count | 0sum
20718: 3uniques | 4count | 1159sum
20719: 1uniques | 1count | 0sum
20720: 4uniques | 7count | 57sum
20721: 2uniques | 2count | 6910sum
20722: 3uniques | 3count | 812sum
20723: 3uniques | 3count | 93sum
20724: 4uniques | 5count | 175sum
20725: 2uniques | 3count | 839sum
20726: 3uniques | 3count | 286sum
20727: 3uniques | 5count | 67sum
20728: 2uniques | 4count | 2597sum
20729: 2uniques | 2count | 1110sum
20730: 4uniques | 4count | 701sum
20731: 1uniques | 1count | 0sum
20732: 3uniques | 4count | 148sum
20733: 2uniques | 2count | 6914sum
20734: 3uniques | 3count | 1490sum
20735: 4uniques | 4count | 58sum
20736: 2uniques | 12count | 28sum
20737: 2uniques | 2count | 322sum
20738: 2uniques | 2count | 10371sum
20739: 3uniques | 3count | 257sum
20740: 4uniques | 5count | 87sum
20741: 2uniques | 2count | 2970sum
20742: 3uniques | 3count | 3462sum
20743: 1uniques | 1count | 0sum
20744: 2uniques | 4count | 2599sum
20745: 3uniques | 4count | 472sum
20746: 4uniques | 4count | 77sum
20747: 1uniques | 1count | 0sum
20748: 5uniques | 6count | 46sum
20749: 1uniques | 1count | 0sum
20750: 3uniques | 5count | 100sum
20751: 2uniques | 2count | 6920sum
20752: 2uniques | 5count | 1305sum
20753: 1uniques | 1count | 0sum
20754: 3uniques | 4count | 1161sum
20755: 3uniques | 3count | 605sum
20756: 2uniques | 3count | 5193sum
20757: 4uniques | 4count | 68sum
20758: 3uniques | 3count | 206sum
20759: 1uniques | 1count | 0sum
20760: 4uniques | 6count | 187sum
20761: 2uniques | 2count | 1610sum
20762: 3uniques | 3count | 1492sum
20763: 2uniques | 4count | 778sum
20764: 3uniques | 4count | 212sum
20765: 2uniques | 2count | 4158sum
