135703: 2unique | 2count | 1496sum
135707: 3unique | 4count | 110sum
135708: 4unique | 5count | 313sum
135709: 2unique | 2count | 19394sum
135713: 2unique | 2count | 1314sum
135714: 3unique | 3count | 22624sum
135715: 2unique | 2count | 27148sum
135719: 1unique | 1count | 135719sum
135720: 5unique | 8count | 59sum
135721: 1unique | 1count | 135721sum
135725: 3unique | 4count | 160sum
135726: 3unique | 3count | 22626sum
135727: 1unique | 1count | 135727sum
135731: 1unique | 1count | 135731sum
135732: 3unique | 4count | 11318sum
135733: 3unique | 3count | 263sum
135737: 2unique | 2count | 19398sum
135738: 3unique | 4count | 7549sum
135739: 2unique | 2count | 1060sum
135743: 1unique | 1count | 135743sum
135744: 4unique | 9count | 123sum
135745: 3unique | 3count | 1619sum
135749: 3unique | 3count | 211sum
135750: 4unique | 6count | 201sum
135751: 4unique | 4count | 102sum
135755: 3unique | 3count | 1453sum
135756: 3unique | 7count | 435sum
135757: 1unique | 1count | 135757sum
135761: 2unique | 2count | 738sum
135762: 4unique | 6count | 55sum
135763: 2unique | 2count | 1196sum
135767: 2unique | 2count | 1128sum
135768: 3unique | 5count | 5666sum
135769: 2unique | 2count | 5926sum
135773: 2unique | 2count | 12354sum
135774: 4unique | 5count | 424sum
135775: 2unique | 3count | 5441sum
135779: 3unique | 4count | 194sum
135780: 5unique | 6count | 116sum
135781: 1unique | 1count | 135781sum
135785: 3unique | 3count | 2107sum
135786: 5unique | 5count | 126sum
135787: 1unique | 1count | 135787sum
135791: 2unique | 2count | 792sum
135792: 4unique | 8count | 78sum
135793: 3unique | 3count | 1047sum
135797: 2unique | 2count | 822sum
135798: 4unique | 4count | 1759sum
135799: 1unique | 1count | 135799sum
135803: 2unique | 2count | 1116sum
135804: 3unique | 4count | 11324sum
135805: 3unique | 3count | 335sum
135809: 2unique | 2count | 2094sum
135810: 4unique | 6count | 519sum
135811: 3unique | 3count | 381sum
135815: 3unique | 3count | 1209sum
135816: 3unique | 5count | 5668sum
135817: 2unique | 2count | 12358sum
135821: 2unique | 2count | 19410sum
135822: 3unique | 3count | 22642sum
135823: 2unique | 2count | 1984sum
135827: 2unique | 2count | 3708sum
135828: 4unique | 8count | 42sum
135829: 1unique | 1count | 135829sum
135833: 2unique | 2count | 3354sum
135834: 3unique | 3count | 22644sum
135835: 3unique | 3count | 3893sum
135839: 3unique | 3count | 297sum
135840: 4unique | 8count | 301sum
135841: 1unique | 1count | 135841sum
135845: 3unique | 3count | 375sum
135846: 3unique | 4count | 7555sum
135847: 3unique | 3count | 209sum
135851: 1unique | 1count | 135851sum
135852: 3unique | 4count | 11328sum
135853: 2unique | 2count | 1934sum
135857: 2unique | 2count | 1422sum
135858: 3unique | 3count | 22648sum
135859: 1unique | 1count | 135859sum
135863: 3unique | 3count | 1513sum
135864: 4unique | 8count | 69sum
135865: 3unique | 3count | 971sum
135869: 2unique | 2count | 7170sum
