75841: 2unique | 2count | 658sum
75845: 4unique | 4count | 220sum
75846: 3unique | 3count | 12646sum
75847: 2unique | 2count | 1112sum
75851: 2unique | 2count | 852sum
75852: 4unique | 7count | 67sum
75853: 1unique | 1count | 75853sum
75857: 2unique | 2count | 2478sum
75858: 4unique | 4count | 321sum
75859: 2unique | 2count | 10844sum
75863: 2unique | 2count | 816sum
75864: 4unique | 6count | 147sum
75865: 2unique | 2count | 15178sum
75869: 1unique | 1count | 75869sum
75870: 4unique | 6count | 297sum
75871: 2unique | 2count | 4480sum
75875: 2unique | 4count | 622sum
75876: 3unique | 4count | 6330sum
75877: 2unique | 2count | 3322sum
75881: 2unique | 3count | 475sum
75882: 3unique | 3count | 12652sum
75883: 1unique | 1count | 75883sum
75887: 3unique | 3count | 337sum
75888: 4unique | 8count | 62sum
75889: 2unique | 2count | 6910sum
75893: 2unique | 2count | 2646sum
75894: 5unique | 5count | 164sum
75895: 3unique | 3count | 401sum
75899: 2unique | 2count | 1140sum
75900: 5unique | 7count | 51sum
75901: 2unique | 3count | 1563sum
75905: 4unique | 4count | 88sum
75906: 3unique | 4count | 4225sum
75907: 2unique | 2count | 5852sum
75911: 3unique | 3count | 181sum
75912: 3unique | 5count | 3172sum
75913: 1unique | 1count | 75913sum
75917: 2unique | 2count | 942sum
75918: 3unique | 3count | 12658sum
75919: 2unique | 3count | 141sum
75923: 2unique | 2count | 3324sum
75924: 4unique | 7count | 69sum
75925: 2unique | 3count | 3047sum
75929: 2unique | 2count | 10854sum
75930: 4unique | 4count | 2541sum
75931: 1unique | 1count | 75931sum
75935: 2unique | 2count | 15192sum
75936: 4unique | 8count | 133sum
75937: 1unique | 1count | 75937sum
75941: 1unique | 1count | 75941sum
75942: 3unique | 4count | 4227sum
75943: 3unique | 3count | 597sum
75947: 2unique | 2count | 612sum
75948: 3unique | 4count | 6336sum
75949: 2unique | 2count | 1486sum
75953: 2unique | 2count | 654sum
75954: 3unique | 3count | 12664sum
75955: 3unique | 3count | 1397sum
75959: 2unique | 2count | 5856sum
75960: 4unique | 7count | 228sum
75961: 2unique | 2count | 2090sum
75965: 2unique | 2count | 15198sum
75966: 4unique | 4count | 1167sum
75967: 1unique | 1count | 75967sum
75971: 2unique | 2count | 10860sum
75972: 4unique | 5count | 507sum
75973: 3unique | 3count | 167sum
75977: 2unique | 2count | 6918sum
75978: 4unique | 7count | 88sum
75979: 1unique | 1count | 75979sum
75983: 1unique | 1count | 75983sum
75984: 3unique | 6count | 1594sum
75985: 4unique | 4count | 192sum
75989: 1unique | 1count | 75989sum
75990: 5unique | 5count | 176sum
75991: 1unique | 1count | 75991sum
75995: 2unique | 2count | 15204sum
75996: 3unique | 5count | 2121sum
75997: 1unique | 1count | 75997sum
76001: 1unique | 1count | 76001sum
76002: 4unique | 4count | 297sum
76003: 1unique | 1count | 76003sum
76007: 2unique | 3count | 297sum
76008: 3unique | 5count | 3176sum
76009: 2unique | 2count | 2650sum
76013: 2unique | 2count | 10866sum
76014: 4unique | 5count | 152sum
76015: 3unique | 3count | 689sum
76019: 2unique | 2count | 4020sum
76020: 5unique | 6count | 200sum
76021: 2unique | 2count | 6922sum
76025: 2unique | 3count | 3051sum
76026: 3unique | 3count | 12676sum
76027: 2unique | 2count | 10868sum
76031: 1unique | 1count | 76031sum
76032: 3unique | 12count | 36sum
76033: 2unique | 2count | 686sum
76037: 2unique | 2count | 5862sum
76038: 5unique | 5count | 76sum
76039: 1unique | 1count | 76039sum
76043: 3unique | 3count | 265sum
76044: 3unique | 4count | 6344sum
76045: 3unique | 3count | 299sum
76049: 2unique | 2count | 786sum
76050: 4unique | 7count | 44sum
76051: 2unique | 2count | 1348sum
76055: 4unique | 4count | 106sum
