690: 4count | 4sum
691: 1count | 1sum
692: 2count | 3sum
693: 3count | 4sum
694: 2count | 2sum
695: 2count | 2sum
696: 3count | 5sum
697: 2count | 2sum
698: 2count | 2sum
699: 2count | 2sum
700: 3count | 5sum
701: 1count | 1sum
702: 3count | 5sum
703: 2count | 2sum
704: 2count | 7sum
705: 3count | 3sum
706: 2count | 2sum
707: 2count | 2sum
708: 3count | 4sum
709: 1count | 1sum
710: 3count | 3sum
711: 2count | 3sum
712: 2count | 4sum
713: 2count | 2sum
714: 4count | 4sum
715: 3count | 3sum
716: 2count | 3sum
717: 2count | 2sum
718: 2count | 2sum
719: 1count | 1sum
720: 3count | 7sum
721: 2count | 2sum
722: 2count | 3sum
723: 2count | 2sum
724: 2count | 3sum
725: 2count | 3sum
726: 3count | 4sum
727: 1count | 1sum
728: 3count | 5sum
729: 1count | 6sum
730: 3count | 3sum
731: 2count | 2sum
732: 3count | 4sum
733: 1count | 1sum
734: 2count | 2sum
735: 3count | 4sum
736: 2count | 6sum
737: 2count | 2sum
738: 3count | 4sum
739: 1count | 1sum
740: 3count | 4sum
741: 3count | 3sum
742: 3count | 3sum
743: 1count | 1sum
744: 3count | 5sum
745: 2count | 2sum
746: 2count | 2sum
747: 2count | 3sum
748: 3count | 4sum
749: 2count | 2sum
750: 3count | 5sum
751: 1count | 1sum
752: 2count | 5sum
753: 2count | 2sum
754: 3count | 3sum
755: 2count | 2sum
756: 3count | 6sum
757: 1count | 1sum
758: 2count | 2sum
759: 3count | 3sum
760: 3count | 5sum
761: 1count | 1sum
762: 3count | 3sum
763: 2count | 2sum
764: 2count | 3sum
765: 3count | 4sum
766: 2count | 2sum
767: 2count | 2sum
768: 2count | 9sum
769: 1count | 1sum
770: 4count | 4sum
771: 2count | 2sum
772: 2count | 3sum
773: 1count | 1sum
774: 3count | 4sum
775: 2count | 3sum
776: 2count | 4sum
777: 3count | 3sum
778: 2count | 2sum
779: 2count | 2sum
780: 4count | 5sum
781: 2count | 2sum
782: 3count | 3sum
783: 2count | 4sum
784: 2count | 6sum
785: 2count | 2sum
786: 3count | 3sum
787: 1count | 1sum
788: 2count | 3sum
789: 2count | 2sum
790: 3count | 3sum
791: 2count | 2sum
792: 3count | 6sum
793: 2count | 2sum
794: 2count | 2sum
795: 3count | 3sum
796: 2count | 3sum
797: 1count | 1sum
798: 4count | 4sum
799: 2count | 2sum
800: 2count | 7sum
801: 2count | 3sum
802: 2count | 2sum
803: 2count | 2sum
804: 3count | 4sum
805: 3count | 3sum
806: 3count | 3sum
807: 2count | 2sum
808: 2count | 4sum
809: 1count | 1sum
810: 3count | 6sum
811: 1count | 1sum
812: 3count | 4sum
813: 2count | 2sum
814: 3count | 3sum
815: 2count | 2sum
816: 3count | 6sum
817: 2count | 2sum
818: 2count | 2sum
819: 3count | 4sum
820: 3count | 4sum
821: 1count | 1sum
822: 3count | 3sum
823: 1count | 1sum
824: 2count | 4sum
825: 3count | 4sum
826: 3count | 3sum
827: 1count | 1sum
828: 3count | 5sum
829: 1count | 1sum
830: 3count | 3sum
831: 2count | 2sum
832: 2count | 7sum
833: 2count | 3sum
834: 3count | 3sum
835: 2count | 2sum
836: 3count | 4sum
837: 2count | 4sum
838: 2count | 2sum
839: 1count | 1sum
840: 4count | 6sum
841: 1count | 2sum
842: 2count | 2sum
843: 2count | 2sum
844: 2count | 3sum
845: 2count | 3sum
846: 3count | 4sum
847: 2count | 3sum
848: 2count | 5sum
849: 2count | 2sum
850: 3count | 4sum
851: 2count | 2sum
852: 3count | 4sum
853: 1count | 1sum
854: 3count | 3sum
855: 3count | 4sum
856: 2count | 4sum
857: 1count | 1sum
858: 4count | 4sum
859: 1count | 1sum
860: 3count | 4sum
861: 3count | 3sum
862: 2count | 2sum
863: 1count | 1sum
864: 2count | 8sum
865: 2count | 2sum
866: 2count | 2sum
867: 2count | 3sum
868: 3count | 4sum
869: 2count | 2sum
870: 4count | 4sum
