732: 3uniques | 4count | 68sum
733: 1uniques | 1count | 0sum
734: 2uniques | 2count | 369sum
735: 3uniques | 4count | 22sum
736: 2uniques | 6count | 33sum
737: 2uniques | 2count | 78sum
738: 3uniques | 4count | 49sum
739: 1uniques | 1count | 0sum
740: 3uniques | 4count | 46sum
741: 3uniques | 3count | 35sum
742: 3uniques | 3count | 62sum
743: 1uniques | 1count | 0sum
744: 3uniques | 5count | 40sum
745: 2uniques | 2count | 154sum
746: 2uniques | 2count | 375sum
747: 2uniques | 3count | 89sum
748: 3uniques | 4count | 32sum
749: 2uniques | 2count | 114sum
750: 3uniques | 5count | 20sum
751: 1uniques | 1count | 0sum
752: 2uniques | 5count | 55sum
753: 2uniques | 2count | 254sum
754: 3uniques | 3count | 44sum
755: 2uniques | 2count | 156sum
756: 3uniques | 6count | 20sum
757: 1uniques | 1count | 0sum
758: 2uniques | 2count | 381sum
759: 3uniques | 3count | 37sum
760: 3uniques | 5count | 30sum
761: 1uniques | 1count | 0sum
762: 3uniques | 3count | 132sum
763: 2uniques | 2count | 116sum
764: 2uniques | 3count | 195sum
765: 3uniques | 4count | 28sum
766: 2uniques | 2count | 385sum
767: 2uniques | 2count | 72sum
768: 2uniques | 9count | 19sum
769: 1uniques | 1count | 0sum
770: 4uniques | 4count | 25sum
771: 2uniques | 2count | 260sum
772: 2uniques | 3count | 197sum
773: 1uniques | 1count | 0sum
774: 3uniques | 4count | 51sum
775: 2uniques | 3count | 41sum
776: 2uniques | 4count | 103sum
777: 3uniques | 3count | 47sum
778: 2uniques | 2count | 391sum
779: 2uniques | 2count | 60sum
780: 4uniques | 5count | 25sum
781: 2uniques | 2count | 82sum
782: 3uniques | 3count | 42sum
783: 2uniques | 4count | 38sum
784: 2uniques | 6count | 22sum
785: 2uniques | 2count | 162sum
786: 3uniques | 3count | 136sum
787: 1uniques | 1count | 0sum
788: 2uniques | 3count | 201sum
789: 2uniques | 2count | 266sum
790: 3uniques | 3count | 86sum
791: 2uniques | 2count | 120sum
792: 3uniques | 6count | 23sum
793: 2uniques | 2count | 74sum
794: 2uniques | 2count | 399sum
795: 3uniques | 3count | 61sum
796: 2uniques | 3count | 203sum
797: 1uniques | 1count | 0sum
798: 4uniques | 4count | 31sum
799: 2uniques | 2count | 64sum
800: 2uniques | 7count | 20sum
801: 2uniques | 3count | 95sum
802: 2uniques | 2count | 403sum
803: 2uniques | 2count | 84sum
804: 3uniques | 4count | 74sum
805: 3uniques | 3count | 35sum
806: 3uniques | 3count | 46sum
807: 2uniques | 2count | 272sum
808: 2uniques | 4count | 107sum
809: 1uniques | 1count | 0sum
810: 3uniques | 6count | 19sum
811: 1uniques | 1count | 0sum
812: 3uniques | 4count | 40sum
813: 2uniques | 2count | 274sum
814: 3uniques | 3count | 50sum
815: 2uniques | 2count | 168sum
816: 3uniques | 6count | 28sum
817: 2uniques | 2count | 62sum
818: 2uniques | 2count | 411sum
819: 3uniques | 4count | 26sum
820: 3uniques | 4count | 50sum
821: 1uniques | 1count | 0sum
822: 3uniques | 3count | 142sum
823: 1uniques | 1count | 0sum
824: 2uniques | 4count | 109sum
