14532: 4uniques | 5count | 187sum
14533: 1uniques | 1count | 0sum
14534: 3uniques | 4count | 71sum
14535: 4uniques | 5count | 47sum
14536: 3uniques | 5count | 108sum
14537: 1uniques | 1count | 0sum
14538: 3uniques | 3count | 2428sum
14539: 3uniques | 3count | 105sum
14540: 3uniques | 4count | 736sum
14541: 3uniques | 3count | 171sum
14542: 3uniques | 3count | 674sum
14543: 1uniques | 1count | 0sum
14544: 3uniques | 7count | 115sum
14545: 2uniques | 2count | 2914sum
14546: 3uniques | 3count | 1048sum
14547: 3uniques | 3count | 389sum
14548: 2uniques | 3count | 3641sum
14549: 1uniques | 1count | 0sum
14550: 4uniques | 5count | 112sum
14551: 1uniques | 1count | 0sum
14552: 3uniques | 5count | 130sum
14553: 3uniques | 6count | 34sum
14554: 3uniques | 3count | 404sum
14555: 3uniques | 3count | 117sum
14556: 3uniques | 4count | 1220sum
14557: 1uniques | 1count | 0sum
14558: 3uniques | 3count | 282sum
14559: 3uniques | 3count | 237sum
14560: 4uniques | 8count | 35sum
14561: 1uniques | 1count | 0sum
14562: 3uniques | 4count | 817sum
14563: 1uniques | 1count | 0sum
14564: 3uniques | 4count | 346sum
14565: 3uniques | 3count | 979sum
14566: 2uniques | 2count | 7285sum
14567: 2uniques | 2count | 2088sum
14568: 3uniques | 5count | 616sum
14569: 2uniques | 2count | 874sum
14570: 4uniques | 4count | 85sum
14571: 2uniques | 3count | 1625sum
14572: 2uniques | 3count | 3647sum
14573: 3uniques | 3count | 91sum
14574: 4uniques | 4count | 359sum
14575: 3uniques | 4count | 74sum
14576: 2uniques | 5count | 919sum
14577: 3uniques | 3count | 159sum
14578: 3uniques | 3count | 236sum
14579: 2uniques | 2count | 300sum
14580: 3uniques | 9count | 27sum
14581: 2uniques | 2count | 2090sum
14582: 3uniques | 3count | 342sum
14583: 2uniques | 2count | 4864sum
14584: 2uniques | 4count | 1829sum
14585: 2uniques | 2count | 2922sum
14586: 5uniques | 5count | 46sum
14587: 2uniques | 2count | 532sum
14588: 3uniques | 4count | 532sum
14589: 2uniques | 3count | 1627sum
14590: 3uniques | 3count | 1466sum
14591: 1uniques | 1count | 0sum
14592: 3uniques | 10count | 38sum
14593: 1uniques | 1count | 0sum
14594: 2uniques | 2count | 7299sum
14595: 4uniques | 4count | 154sum
14596: 3uniques | 4count | 134sum
14597: 2uniques | 2count | 1338sum
14598: 3uniques | 4count | 819sum
14599: 2uniques | 2count | 1136sum
14600: 3uniques | 6count | 89sum
14601: 3uniques | 3count | 191sum
14602: 3uniques | 4count | 165sum
14603: 2uniques | 2count | 876sum
14604: 3uniques | 4count | 1224sum
14605: 3uniques | 3count | 155sum
14606: 3uniques | 3count | 178sum
14607: 2uniques | 4count | 550sum
14608: 3uniques | 6count | 102sum
14609: 2uniques | 2count | 2094sum
14610: 4uniques | 4count | 497sum
14611: 2uniques | 2count | 788sum
14612: 3uniques | 4count | 298sum
14613: 2uniques | 2count | 4874sum
14614: 2uniques | 2count | 7309sum
14615: 3uniques | 3count | 121sum
14616: 4uniques | 7count | 48sum
14617: 2uniques | 2count | 358sum
14618: 2uniques | 2count | 7311sum
14619: 3uniques | 3count | 457sum
14620: 4uniques | 5count | 69sum
14621: 1uniques | 1count | 0sum
14622: 3uniques | 3count | 2442sum
14623: 2uniques | 2count | 2096sum
14624: 2uniques | 6count | 467sum
14625: 3uniques | 6count | 34sum
14626: 3uniques | 3count | 176sum
14627: 1uniques | 1count | 0sum
14628: 4uniques | 5count | 83sum
